Rank,Title,Name of actors,Release date,Rating,Type,Duration,Region,Name of director,Cumulative income
61,布达佩斯大饭店,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",2014/6/14,8.7,剧情，喜剧，冒险,100分钟,英国,韦斯·安德森,暂无
62,海边的曼彻斯特,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",2017/8/25,8.8,剧情，家庭,136分钟,美国,肯尼斯·罗纳根,818万
63,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014/10/24,8.8,喜剧，爱情，动作，奇幻,110分钟,中国大陆,刘镇伟,18683万
64,超脱,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",2011/4/25,8.7,剧情, 97分钟,美国,托尼·凯耶,暂无
65,爱在黎明破晓前,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",1995/1/27,8.7,爱情,101分钟,瑞士,理查德·林克莱特,暂无
66,海蒂和爷爷,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹",2019/5/16,9.5,剧情，家庭，冒险,111分钟,德国,阿兰·葛斯彭纳,2093万
67,蝴蝶效应,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",2004/1/23,8.7,剧情，科幻，悬疑，惊悚,113分钟,加拿大,埃里克·布雷斯，J·麦基·格鲁伯,暂无
68,罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953/8/20,9.1,剧情，喜剧，爱情,118分钟,美国,威廉·惠勒,暂无
69,低俗小说,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",1994/5/21,8.7,剧情，喜剧，犯罪,154分钟,美国,昆汀·塔伦蒂诺,暂无
70,菊次郎的夏天,"北野武,关口雄介,岸本 加世子",2020/9/25,8.8,剧情，喜剧,120分钟,日本,北野武,906万
71,釜山行,"孔刘,郑有美,马东锡",2016/5/13,8.9,动作，惊悚，灾难,118分钟,韩国,延尚昊，延相昊,暂无
